MasterID,date,mean.svl,bci,next.bci
236,2/26/2013,68.8,0.117059872,0.139142345
308,2/26/2013,60.1,0.495678942,-0.237276354
345,2/26/2013,73.3,0.32915661,-0.01782447
346,2/26/2013,64.6,0.52403684,0.517028393
257,2/26/2013,72.4,0.268032644,0.488405152
886,2/26/2013,61.2,0.22686076,0.248246413
166,2/26/2013,72.6,0.329657663,0.10250223
348,2/26/2013,66.5,0.130637245,-0.0230281
40,2/26/2013,78.2,0.070208767,0.27220713
20,10/19/2013,76.4,0.152605705,0.391852876
235,10/22/2013,58.3,0.127178085,0.141623228
40,10/22/2013,72.2,0.27220713,-0.101628128
166,10/22/2013,73.3,0.10250223,-0.048855614
914,10/22/2013,69.4,0.255457232,-0.192184952
267,10/23/2013,71.45,0.256048719,0.269120801
200,10/23/2013,61.7,-0.029793249,-0.317269097
188,10/23/2013,54.4,0.035199503,0.021454303
349,10/23/2013,73.2,0.019002483,0.551496087
107,10/23/2013,65.8,0.41804772,0.006850471
317,10/23/2013,62.8,0.291350874,-0.015498692
267,10/23/2013,71.45,0.269120801,0.332015791
257,10/28/2013,68.9,0.488405152,-0.034704834
307,10/28/2013,65.3,0.158234253,-0.051136007
310,10/28/2013,66.4,0.629712257,0.387290913
346,10/29/2013,68.1,0.517028393,0.347001663
310,10/30/2013,70.7,0.387290913,-0.372630031
145,10/30/2013,67.5,0.277024323,-0.321098869
280,10/31/2013,57.2,0.393969614,0.114014806
326,10/31/2013,57.8,0.49332257,-0.210560422
337,10/31/2013,55.2,0.050989323,0.316887593
267,11/1/2013,68.6,0.332015791,-0.189920505
351,11/1/2013,52.4,0.514919682,0.447862714
313,11/1/2013,53.7,0.433141632,-0.169649371
353,11/18/2013,61.9,-0.05308389,0.425120135
337,11/18/2013,46.7,0.316887593,0.05062943
187,11/21/2013,61.6,-0.032045042,-0.016071344
318,11/22/2013,63.2,-0.07953778,-0.034134904
47,11/22/2013,68.3,-0.240324162,0.055275519
355,11/22/2013,69.1,-0.281985478,0.069451378
356,11/23/2013,57.6,-0.126941903,-0.395179384
145,11/23/2013,65.8,-0.321098869,0.067108853
312,11/23/2013,59.1,-0.401307027,-0.231698995
181,11/23/2013,57.9,-0.055524126,-0.088390119
307,11/25/2013,61.2,-0.051136007,0.499156839
334,11/26/2013,61.7,-0.032100055,-0.226499507
308,11/26/2013,61.9,-0.237276354,0.2421417
914,11/26/2013,63.9,-0.192184952,0.32178077
187,11/26/2013,60.4,-0.016071344,-0.063051553
356,11/26/2013,61.9,-0.395179384,0.609580657
107,11/26/2013,61.5,0.006850471,0.488215664
321,11/26/2013,64.6,-0.629220871,0.217930511
345,11/26/2013,73.6,-0.01782447,0.093179077
200,11/26/2013,62.5,-0.317269097,-0.026383246
310,11/26/2013,66.9,-0.372630031,0.180320379
187,11/26/2013,60.4,-0.063051553,0.428733249
40,11/27/2013,70.5,-0.101628128,0.115597591
167,11/27/2013,53.9,0.197459203,0.397736661
219,11/27/2013,57.5,0.1669621,-0.142665727
38,11/27/2013,53.5,0.333392781,0.545871888
358,11/27/2013,62.4,-0.134215463,0.327645351
213,11/27/2013,53,-0.021949865,0.034826651
172,11/29/2013,54.5,0.131610968,0.196324909
359,12/1/2013,66.5,-0.441597007,-0.089088656
267,12/2/2013,69.1,-0.189920505,0.0530549
328,12/3/2013,58.6,0.138210966,0.169440184
361,12/4/2013,62.4,-0.076507145,0.170372103
337,12/5/2013,54.2,0.05062943,-0.005908477
288,12/5/2013,68.5,0.019552479,0.020651878
154,12/5/2013,65.9,-0.295706065,-0.005725802
248,12/5/2013,56,0.165602211,0.107898889
267,12/5/2013,65.6,0.0530549,0.484060292
337,12/10/2013,50.9,-0.005908477,0.260108167
348,12/21/2013,60.6,-0.0230281,0.21875488
288,12/22/2013,64.4,0.020651878,0.394005325
219,12/22/2013,60,-0.142665727,-0.305805094
219,12/23/2013,63,-0.305805094,-0.081545624
219,1/13/2014,56.3,-0.081545624,0.023336577
348,1/14/2014,67.9,0.21875488,0.001391782
348,1/27/2014,65.3,0.001391782,0.316608649
356,2/10/2014,57,0.609580657,0.591921572
40,3/11/2014,72.1,0.115597591,0.245586489
187,4/4/2014,63.9,0.428733249,0.507864255
205,4/6/2014,66,0.21339349,-0.191012306
349,4/6/2014,70,0.551496087,0.153341424
308,4/8/2014,71.7,0.2421417,-0.313179125
40,4/17/2014,71.2,0.245586489,-0.265288527
351,4/17/2014,65.6,0.447862714,-0.095184421
353,4/26/2014,61.7,0.425120135,-0.473534036
20,4/26/2014,69.4,0.391852876,0.061424047
