MasterID,date,Direction.of.Travel,SVL_1stMeasurement,SVL_2ndMeasurement,TL,Weight,Volume.disp,Sex,Age,gravid,next.date,next.direction.of.travel,next.first.svl,next.second.svl,next.tl.svl,next.weight,next.vol.disp,next.sex,next.age,next.gravid,days.between.captures,is.pond.growth,is.upland.growth,in.out.out.in,is.training
172,11/3/2011,IN,55.5,NA,93.4,2.32,NA,M,A,N,1/10/2012,OUT,52.5,NA,92.1,1.83,2,M,A,N,68,1,0,1,1
820,11/16/2015,OUT,55.7,NA,99.3,2.33,2.4,U,A,N,11/30/2016,IN,60.8,60.8,108.2,4.49,NA,F,A,Y,380,0,1,1,0
675,11/6/2014,IN,52.1,NA,89.8,2.33,2.4,M,U,N,1/12/2015,OUT,47.4,NA,82.6,2.34,2.2,M,U,N,67,1,0,1,1
692,10/26/2015,IN,54.7,NA,81.6,2.34,2.3,F,A,N,3/7/2016,OUT,58.2,NA,100.2,5.73,5.6,F,A,N,133,1,0,1,1
675,1/12/2015,OUT,47.4,NA,82.6,2.34,2.2,M,U,N,10/26/2015,IN,54.1,NA,92.6,2.91,3,M,A,N,287,0,1,1,1
628,10/30/2014,IN,52.1,NA,93.3,2.34,2.2,M,U,N,12/22/2014,OUT,44.2,NA,83,2.23,2,M,U,N,53,1,0,1,1
642,10/30/2014,IN,50.8,NA,82.2,2.34,2.4,M,U,N,11/22/2014,OUT,48.7,NA,82.9,1.74,2.2,M,U,N,23,1,0,1,1
691,11/22/2014,IN,53,NA,93.4,2.35,2.4,M,U,N,2/2/2015,OUT,45.7,NA,79.7,2.12,2.2,M,U,N,72,1,0,1,1
918,10/26/2014,IN,51.3,NA,85.7,2.35,2.2,F,Y,N,12/28/2014,OUT,55.9,NA,92.4,4.09,4,F,Y,Y,63,1,0,1,1
235,12/25/2012,IN,47.1,NA,100.6,2.35,2.4,M,A,N,10/22/2013,OUT,58.3,NA,108.8,4.33,4.2,M,A,N,301,0,1,1,0
627,10/30/2014,IN,50.6,NA,86.9,2.36,2.6,M,U,N,12/24/2014,OUT,50,NA,85.8,2.16,2.2,U,U,N,55,1,0,1,1
259,12/6/2011,IN,57,NA,109.7,2.36,2.2,F,A,N,3/18/2012,OUT,62.5,NA,113.7,3.72,3.6,F,A,N,103,1,0,1,1
624,10/30/2014,IN,54.2,NA,96.6,2.37,2,M,U,N,12/21/2014,OUT,51.6,NA,89,2.06,2,M,U,N,52,1,0,1,1
631,10/30/2014,IN,48.8,NA,86,2.37,2.1,M,U,N,12/7/2014,OUT,49.9,NA,83.3,1.74,1.6,M,U,N,38,1,0,1,1
606,10/30/2014,IN,54,NA,86.3,2.37,2.4,M,U,N,11/26/2014,OUT,48.6,NA,78.5,2.04,2,M,U,N,27,1,0,1,1
611,11/22/2014,OUT,45.6,NA,88,2.4,1.4,U,U,N,10/16/2015,IN,58.5,NA,102.8,3.11,3.2,M,A,N,328,1,0,1,0
250,11/27/2011,OUT,52.7,NA,87.9,2.4,2.3,F,A,Y,12/21/2011,IN,51.7,NA,88.3,2.14,2.2,F,A,Y,24,0,1,1,1
511,10/5/2018,IN,51.3,51,89.3,2.41,NA,U,A,N,10/25/2018,OUT,50.5,51,84.9,2.33,NA,U,U,N,20,1,0,1,1
453,11/2/2017,IN,50.2,50.2,90.4,2.41,NA,M,Y,N,12/17/2017,OUT,44.3,42.9,83.9,1.77,NA,U,Y,N,45,1,0,1,1
630,10/30/2014,IN,47,NA,85.4,2.41,2.2,M,U,N,3/13/2015,OUT,49.1,NA,87.3,2.93,2.8,M,U,N,134,1,0,1,1
285,1/27/2012,IN,61.6,NA,101.3,2.41,2.2,M,A,N,11/28/2012,IN,54.6,NA,119,2.47,3,M,A,N,306,1,0,1,0
842,11/19/2015,IN,55.1,NA,96.7,2.42,2.3,U,A,N,3/17/2016,OUT,65.3,NA,101.4,4.56,4.2,U,A,N,119,1,0,1,1
587,10/14/2014,IN,47.2,NA,87,2.42,2.4,M,U,N,11/6/2014,OUT,59.6,NA,87.9,2.17,2.4,U,U,N,23,1,0,1,1
314,11/20/2012,IN,54.9,NA,92.5,2.42,2.2,M,A,N,11/21/2013,IN,56.6,NA,103.1,3.2,3.2,F,A,N,366,0,0,0,0
217,11/23/2011,IN,52.7,NA,94.2,2.42,NA,M,A,N,12/9/2012,IN,48,NA,80.9,1.98,1.9,M,A,N,382,0,1,1,0
678,11/6/2014,IN,53.8,NA,95.5,2.43,2.4,M,U,N,10/16/2015,IN,54.3,NA,99,3.34,3.7,M,A,N,344,0,0,0,0
913,10/30/2014,IN,53.2,NA,91.7,2.43,1.5,M,Y,N,12/6/2014,OUT,48.4,NA,92.2,2.13,2.2,M,Y,N,37,1,0,1,1
213,1/16/2013,IN,54.2,NA,89.4,2.43,2.2,M,A,N,11/27/2013,IN,53,NA,100.1,2.91,2.8,M,A,N,315,0,0,0,0
883,11/2/2015,OUT,53.2,NA,88.5,2.44,2.4,M,A,N,12/5/2016,IN,57.8,58.1,102,3.51,NA,M,A,N,399,1,0,1,0
645,10/28/2014,IN,50.2,NA,91.1,2.44,2.1,M,U,N,12/24/2014,OUT,40,NA,83.4,2.15,2.1,M,U,N,57,1,0,1,1
748,10/26/2015,IN,52,NA,87.3,2.45,2.2,M,A,N,11/8/2015,IN,52.7,NA,91.4,2.56,2.9,M,U,N,13,0,0,0,1
337,2/11/2013,OUT,47.5,NA,90,2.45,2.6,M,A,N,10/31/2013,OUT,55.2,NA,103,3.47,4,M,A,N,262,0,0,0,1
650,10/30/2014,IN,46.5,NA,87.7,2.46,2.2,M,U,N,4/15/2016,OUT,60.1,NA,105.6,5.6,5.8,U,A,N,533,0,1,1,0
597,11/22/2014,IN,47.5,NA,90.1,2.46,2.4,M,U,N,2/2/2015,OUT,59.3,NA,89.4,2.68,2.6,M,U,N,72,1,0,1,1
207,11/10/2011,IN,53,NA,94.5,2.46,NA,M,A,N,10/27/2014,IN,59.1,NA,112,4.94,5.4,M,A,N,1082,0,0,0,0
456,11/10/2017,IN,46.5,46.5,83.5,2.47,NA,M,A,N,12/19/2017,OUT,45.5,45,87.4,3.4,NA,U,U,N,39,1,0,1,1
687,12/7/2014,OUT,57.7,NA,95.4,2.47,2.4,F,A,N,10/25/2015,IN,64.8,NA,99.1,5.43,5.6,F,A,Y,322,1,0,1,0
652,10/30/2014,IN,45.4,NA,82.5,2.47,2.4,M,U,N,11/22/2014,OUT,47.8,NA,87.4,2.01,2.2,U,U,N,23,1,0,1,1
285,11/28/2012,IN,54.6,NA,119,2.47,3,M,A,N,12/17/2012,OUT,47.8,NA,97.4,3.57,3.6,M,A,N,19,1,0,1,1
450,12/4/2017,OUT,47.9,47.8,82,2.48,NA,U,U,N,10/26/2018,IN,49,48,90,2.91,NA,M,A,N,326,1,0,1,0
218,11/10/2011,OUT,55.9,NA,98.5,2.48,NA,M,A,N,11/15/2011,IN,53.2,NA,94.7,2.35,2.4,M,A,N,5,0,1,1,1
219,11/14/2011,IN,58.2,NA,104.1,2.5,NA,M,A,N,2/25/2013,OUT,62.5,NA,110.9,6.3,5.6,M,A,N,469,0,1,1,0
146,1/2/2011,IN,52,NA,83,2.5,NA,F,A,U,3/3/2012,OUT,58.9,NA,102.3,NA,NA,F,A,N,426,1,0,1,0
381,12/1/2016,IN,54.9,55.3,93.6,2.53,NA,M,U,N,12/4/2017,OUT,50.2,50.3,101.7,2.71,NA,M,A,N,368,0,0,0,0
647,10/27/2015,IN,45.2,NA,87.3,2.53,1.8,M,A,N,12/2/2015,OUT,45.6,NA,87.7,2.95,3,U,A,N,36,1,0,1,1
328,1/8/2013,IN,55.7,NA,97.5,2.53,2.4,U,A,N,12/3/2013,IN,58.6,NA,103.7,4.44,4.2,U,A,N,329,0,0,0,0
